,country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,address,non_residential_change_from_baseline
52498,FR,France,Normandy,,2020-04-16,-79.0,-30.0,-51.0,-78.0,-65.0,29.0,"Normandy, France",-60.6
52499,FR,France,Normandy,,2020-04-17,-81.0,-33.0,-59.0,-81.0,-65.0,33.0,"Normandy, France",-63.8
52500,FR,France,Normandy,,2020-04-18,-85.0,-47.0,-69.0,-81.0,-51.0,22.0,"Normandy, France",-66.6
52501,FR,France,Normandy,,2020-04-19,-82.0,-62.0,-69.0,-85.0,-44.0,16.0,"Normandy, France",-68.4
52502,FR,France,Normandy,,2020-04-20,-78.0,-38.0,-49.0,-79.0,-64.0,27.0,"Normandy, France",-61.6
52503,FR,France,Normandy,,2020-04-21,-77.0,-35.0,-47.0,-77.0,-63.0,28.0,"Normandy, France",-59.8
52504,FR,France,Normandy,,2020-04-22,-79.0,-38.0,-50.0,-76.0,-61.0,25.0,"Normandy, France",-60.8
52505,FR,France,Normandy,,2020-04-23,-78.0,-34.0,-45.0,-76.0,-63.0,27.0,"Normandy, France",-59.2
52506,FR,France,Normandy,,2020-04-24,-78.0,-35.0,-52.0,-80.0,-62.0,31.0,"Normandy, France",-61.4
52507,FR,France,Normandy,,2020-04-25,-83.0,-44.0,-67.0,-80.0,-48.0,21.0,"Normandy, France",-64.4
52508,FR,France,Normandy,,2020-04-26,-79.0,-57.0,-61.0,-82.0,-39.0,15.0,"Normandy, France",-63.6
52509,FR,France,Normandy,,2020-04-27,-75.0,-36.0,-47.0,-76.0,-60.0,26.0,"Normandy, France",-58.8
52510,FR,France,Normandy,,2020-04-28,-75.0,-34.0,-54.0,-75.0,-60.0,26.0,"Normandy, France",-59.6
52511,FR,France,Normandy,,2020-04-29,-77.0,-33.0,-58.0,-75.0,-57.0,24.0,"Normandy, France",-60.0
52512,FR,France,Normandy,,2020-04-30,-71.0,-14.0,-52.0,-76.0,-58.0,25.0,"Normandy, France",-54.2
52513,FR,France,Normandy,,2020-05-01,-90.0,-88.0,-63.0,-92.0,-87.0,41.0,"Normandy, France",-84.0
52514,FR,France,Normandy,,2020-05-02,-77.0,-27.0,-63.0,-78.0,-44.0,20.0,"Normandy, France",-57.8
52515,FR,France,Normandy,,2020-05-03,-79.0,-57.0,-67.0,-84.0,-36.0,15.0,"Normandy, France",-64.6
52516,FR,France,Normandy,,2020-05-04,-69.0,-23.0,-43.0,-73.0,-56.0,24.0,"Normandy, France",-52.8
52517,FR,France,Normandy,,2020-05-05,-70.0,-24.0,-53.0,-73.0,-56.0,25.0,"Normandy, France",-55.2
52518,FR,France,Normandy,,2020-05-06,-71.0,-23.0,-43.0,-70.0,-52.0,21.0,"Normandy, France",-51.8
52519,FR,France,Normandy,,2020-05-07,-66.0,-10.0,-39.0,-71.0,-53.0,22.0,"Normandy, France",-47.8
52520,FR,France,Normandy,,2020-05-08,-84.0,-62.0,-49.0,-87.0,-81.0,37.0,"Normandy, France",-72.6
52521,FR,France,Normandy,,2020-05-09,-74.0,-27.0,-61.0,-74.0,-37.0,19.0,"Normandy, France",-54.6
52522,FR,France,Normandy,,2020-05-10,-75.0,-47.0,-69.0,-79.0,-29.0,14.0,"Normandy, France",-59.8
52523,FR,France,Normandy,,2020-05-11,-36.0,-4.0,-11.0,-55.0,-41.0,15.0,"Normandy, France",-29.4
52524,FR,France,Normandy,,2020-05-12,-37.0,-1.0,-1.0,-51.0,-40.0,15.0,"Normandy, France",-26.0
52525,FR,France,Normandy,,2020-05-13,-43.0,-7.0,-14.0,-52.0,-38.0,14.0,"Normandy, France",-30.8
52526,FR,France,Normandy,,2020-05-14,-40.0,-2.0,-5.0,-53.0,-39.0,14.0,"Normandy, France",-27.8
52527,FR,France,Normandy,,2020-05-15,-42.0,-4.0,2.0,-57.0,-39.0,17.0,"Normandy, France",-28.0
52528,FR,France,Normandy,,2020-05-16,-44.0,-9.0,8.0,-47.0,-16.0,7.0,"Normandy, France",-21.6
52529,FR,France,Normandy,,2020-05-17,-42.0,-1.0,42.0,-54.0,-2.0,3.0,"Normandy, France",-11.4
52530,FR,France,Normandy,,2020-05-18,-29.0,-1.0,32.0,-49.0,-37.0,14.0,"Normandy, France",-16.8
52531,FR,France,Normandy,,2020-05-19,-32.0,2.0,30.0,-45.0,-37.0,14.0,"Normandy, France",-16.4
52532,FR,France,Normandy,,2020-05-20,-28.0,15.0,58.0,-43.0,-35.0,9.0,"Normandy, France",-6.6
52533,FR,France,Normandy,,2020-05-21,-51.0,-35.0,127.0,-65.0,-77.0,20.0,"Normandy, France",-20.2
52534,FR,France,Normandy,,2020-05-22,-32.0,3.0,28.0,-60.0,-54.0,20.0,"Normandy, France",-23.0
52535,FR,France,Normandy,,2020-05-23,-39.0,-10.0,21.0,-47.0,-13.0,8.0,"Normandy, France",-17.6
52536,FR,France,Normandy,,2020-05-24,-38.0,-3.0,51.0,-47.0,2.0,3.0,"Normandy, France",-7.0
52537,FR,France,Normandy,,2020-05-25,-25.0,-5.0,53.0,-44.0,-35.0,13.0,"Normandy, France",-11.2
52538,FR,France,Normandy,,2020-05-26,-28.0,0.0,58.0,-43.0,-32.0,12.0,"Normandy, France",-9.0
52539,FR,France,Normandy,,2020-05-27,-30.0,0.0,51.0,-41.0,-31.0,10.0,"Normandy, France",-10.2
52540,FR,France,Normandy,,2020-05-28,-29.0,4.0,48.0,-41.0,-32.0,12.0,"Normandy, France",-10.0
52541,FR,France,Normandy,,2020-05-29,-31.0,4.0,50.0,-45.0,-32.0,13.0,"Normandy, France",-10.8
52542,FR,France,Normandy,,2020-05-30,-31.0,3.0,59.0,-34.0,-3.0,4.0,"Normandy, France",-1.2
52543,FR,France,Normandy,,2020-05-31,-22.0,32.0,117.0,-39.0,13.0,0.0,"Normandy, France",20.2
52544,FR,France,Normandy,,2020-06-01,-36.0,-36.0,151.0,-57.0,-72.0,18.0,"Normandy, France",-10.0
52545,FR,France,Normandy,,2020-06-02,-13.0,12.0,74.0,-26.0,-27.0,8.0,"Normandy, France",4.0
52546,FR,France,Normandy,,2020-06-03,-18.0,6.0,41.0,-30.0,-26.0,8.0,"Normandy, France",-5.4
52547,FR,France,Normandy,,2020-06-04,-19.0,5.0,19.0,-33.0,-27.0,10.0,"Normandy, France",-11.0
52548,FR,France,Normandy,,2020-06-05,-18.0,4.0,22.0,-31.0,-26.0,11.0,"Normandy, France",-9.8
52549,FR,France,Nouvelle-Aquitaine,,2020-02-15,5.0,3.0,38.0,17.0,1.0,-1.0,"Nouvelle-Aquitaine, France",12.8
52550,FR,France,Nouvelle-Aquitaine,,2020-02-16,17.0,15.0,46.0,19.0,1.0,-1.0,"Nouvelle-Aquitaine, France",19.6
52551,FR,France,Nouvelle-Aquitaine,,2020-02-17,0.0,4.0,10.0,6.0,0.0,2.0,"Nouvelle-Aquitaine, France",4.0
52552,FR,France,Nouvelle-Aquitaine,,2020-02-18,6.0,3.0,25.0,7.0,1.0,1.0,"Nouvelle-Aquitaine, France",8.4
52553,FR,France,Nouvelle-Aquitaine,,2020-02-19,0.0,2.0,21.0,7.0,1.0,1.0,"Nouvelle-Aquitaine, France",6.2
52554,FR,France,Nouvelle-Aquitaine,,2020-02-20,1.0,3.0,32.0,9.0,0.0,0.0,"Nouvelle-Aquitaine, France",9.0
52555,FR,France,Nouvelle-Aquitaine,,2020-02-21,3.0,2.0,34.0,13.0,1.0,0.0,"Nouvelle-Aquitaine, France",10.6
52556,FR,France,Nouvelle-Aquitaine,,2020-02-22,-3.0,2.0,43.0,20.0,-1.0,-1.0,"Nouvelle-Aquitaine, France",12.2
52557,FR,France,Nouvelle-Aquitaine,,2020-02-23,10.0,12.0,38.0,19.0,1.0,-2.0,"Nouvelle-Aquitaine, France",16.0
52558,FR,France,Nouvelle-Aquitaine,,2020-02-24,2.0,3.0,43.0,-1.0,-19.0,4.0,"Nouvelle-Aquitaine, France",5.6
52559,FR,France,Nouvelle-Aquitaine,,2020-02-25,1.0,0.0,8.0,-9.0,-19.0,5.0,"Nouvelle-Aquitaine, France",-3.8
52560,FR,France,Nouvelle-Aquitaine,,2020-02-26,-6.0,-3.0,3.0,-10.0,-16.0,3.0,"Nouvelle-Aquitaine, France",-6.4
52561,FR,France,Nouvelle-Aquitaine,,2020-02-27,-6.0,1.0,-6.0,-13.0,-20.0,5.0,"Nouvelle-Aquitaine, France",-8.8
52562,FR,France,Nouvelle-Aquitaine,,2020-02-28,-4.0,0.0,12.0,-7.0,-20.0,5.0,"Nouvelle-Aquitaine, France",-3.8
52563,FR,France,Nouvelle-Aquitaine,,2020-02-29,-10.0,-1.0,-14.0,-3.0,-6.0,1.0,"Nouvelle-Aquitaine, France",-6.8
52564,FR,France,Nouvelle-Aquitaine,,2020-03-01,-2.0,0.0,-22.0,2.0,1.0,0.0,"Nouvelle-Aquitaine, France",-4.2
52565,FR,France,Nouvelle-Aquitaine,,2020-03-02,-5.0,1.0,-9.0,-16.0,-23.0,6.0,"Nouvelle-Aquitaine, France",-10.4
52566,FR,France,Nouvelle-Aquitaine,,2020-03-03,-4.0,0.0,-8.0,-18.0,-22.0,6.0,"Nouvelle-Aquitaine, France",-10.4
52567,FR,France,Nouvelle-Aquitaine,,2020-03-04,-8.0,-1.0,-11.0,-17.0,-19.0,4.0,"Nouvelle-Aquitaine, France",-11.2
52568,FR,France,Nouvelle-Aquitaine,,2020-03-05,-7.0,0.0,-15.0,-19.0,-22.0,6.0,"Nouvelle-Aquitaine, France",-12.6
52569,FR,France,Nouvelle-Aquitaine,,2020-03-06,-6.0,-2.0,-9.0,-16.0,-22.0,7.0,"Nouvelle-Aquitaine, France",-11.0
52570,FR,France,Nouvelle-Aquitaine,,2020-03-07,-7.0,-1.0,7.0,-3.0,-4.0,1.0,"Nouvelle-Aquitaine, France",-1.6
52571,FR,France,Nouvelle-Aquitaine,,2020-03-08,-8.0,3.0,-21.0,0.0,-1.0,1.0,"Nouvelle-Aquitaine, France",-5.4
52572,FR,France,Nouvelle-Aquitaine,,2020-03-09,-4.0,4.0,4.0,-1.0,0.0,2.0,"Nouvelle-Aquitaine, France",0.6
52573,FR,France,Nouvelle-Aquitaine,,2020-03-10,-2.0,2.0,9.0,-2.0,0.0,1.0,"Nouvelle-Aquitaine, France",1.4
52574,FR,France,Nouvelle-Aquitaine,,2020-03-11,-5.0,2.0,13.0,-2.0,0.0,1.0,"Nouvelle-Aquitaine, France",1.6
52575,FR,France,Nouvelle-Aquitaine,,2020-03-12,-6.0,7.0,3.0,-6.0,0.0,1.0,"Nouvelle-Aquitaine, France",-0.4
52576,FR,France,Nouvelle-Aquitaine,,2020-03-13,-4.0,19.0,16.0,-5.0,0.0,2.0,"Nouvelle-Aquitaine, France",5.2
52577,FR,France,Nouvelle-Aquitaine,,2020-03-14,-21.0,3.0,3.0,-17.0,-4.0,5.0,"Nouvelle-Aquitaine, France",-7.2
52578,FR,France,Nouvelle-Aquitaine,,2020-03-15,-30.0,23.0,23.0,-17.0,-2.0,3.0,"Nouvelle-Aquitaine, France",-0.6
52579,FR,France,Nouvelle-Aquitaine,,2020-03-16,-39.0,47.0,-22.0,-35.0,-31.0,13.0,"Nouvelle-Aquitaine, France",-16.0
52580,FR,France,Nouvelle-Aquitaine,,2020-03-17,-65.0,-14.0,-35.0,-56.0,-50.0,22.0,"Nouvelle-Aquitaine, France",-44.0
52581,FR,France,Nouvelle-Aquitaine,,2020-03-18,-82.0,-48.0,-48.0,-73.0,-64.0,28.0,"Nouvelle-Aquitaine, France",-63.0
52582,FR,France,Nouvelle-Aquitaine,,2020-03-19,-81.0,-42.0,-52.0,-78.0,-67.0,30.0,"Nouvelle-Aquitaine, France",-64.0
52583,FR,France,Nouvelle-Aquitaine,,2020-03-20,-82.0,-41.0,-57.0,-80.0,-67.0,35.0,"Nouvelle-Aquitaine, France",-65.4
52584,FR,France,Nouvelle-Aquitaine,,2020-03-21,-87.0,-53.0,-73.0,-80.0,-54.0,24.0,"Nouvelle-Aquitaine, France",-69.4
52585,FR,France,Nouvelle-Aquitaine,,2020-03-22,-84.0,-66.0,-76.0,-83.0,-50.0,18.0,"Nouvelle-Aquitaine, France",-71.8
52586,FR,France,Nouvelle-Aquitaine,,2020-03-23,-79.0,-41.0,-57.0,-80.0,-69.0,31.0,"Nouvelle-Aquitaine, France",-65.2
52587,FR,France,Nouvelle-Aquitaine,,2020-03-24,-81.0,-45.0,-57.0,-80.0,-70.0,32.0,"Nouvelle-Aquitaine, France",-66.6
52588,FR,France,Nouvelle-Aquitaine,,2020-03-25,-83.0,-49.0,-60.0,-80.0,-69.0,30.0,"Nouvelle-Aquitaine, France",-68.2
52589,FR,France,Nouvelle-Aquitaine,,2020-03-26,-82.0,-46.0,-61.0,-82.0,-70.0,32.0,"Nouvelle-Aquitaine, France",-68.2
52590,FR,France,Nouvelle-Aquitaine,,2020-03-27,-82.0,-46.0,-60.0,-83.0,-69.0,36.0,"Nouvelle-Aquitaine, France",-68.0
52591,FR,France,Nouvelle-Aquitaine,,2020-03-28,-87.0,-55.0,-73.0,-82.0,-55.0,24.0,"Nouvelle-Aquitaine, France",-70.4
52592,FR,France,Nouvelle-Aquitaine,,2020-03-29,-86.0,-76.0,-80.0,-86.0,-53.0,18.0,"Nouvelle-Aquitaine, France",-76.2
52593,FR,France,Nouvelle-Aquitaine,,2020-03-30,-83.0,-50.0,-64.0,-83.0,-70.0,32.0,"Nouvelle-Aquitaine, France",-70.0
52594,FR,France,Nouvelle-Aquitaine,,2020-03-31,-88.0,-38.0,-55.0,-79.0,-69.0,31.0,"Nouvelle-Aquitaine, France",-65.8
52595,FR,France,Nouvelle-Aquitaine,,2020-04-01,-89.0,-40.0,-57.0,-78.0,-67.0,29.0,"Nouvelle-Aquitaine, France",-66.2
52596,FR,France,Nouvelle-Aquitaine,,2020-04-02,-89.0,-36.0,-55.0,-80.0,-69.0,31.0,"Nouvelle-Aquitaine, France",-65.8
52597,FR,France,Nouvelle-Aquitaine,,2020-04-03,-85.0,-37.0,-56.0,-81.0,-67.0,35.0,"Nouvelle-Aquitaine, France",-65.2
52598,FR,France,Nouvelle-Aquitaine,,2020-04-04,-88.0,-45.0,-69.0,-80.0,-53.0,24.0,"Nouvelle-Aquitaine, France",-67.0
52599,FR,France,Nouvelle-Aquitaine,,2020-04-05,-84.0,-67.0,-72.0,-82.0,-49.0,18.0,"Nouvelle-Aquitaine, France",-70.8
52600,FR,France,Nouvelle-Aquitaine,,2020-04-06,-83.0,-38.0,-57.0,-80.0,-68.0,30.0,"Nouvelle-Aquitaine, France",-65.2
52601,FR,France,Nouvelle-Aquitaine,,2020-04-07,-81.0,-37.0,-54.0,-77.0,-68.0,30.0,"Nouvelle-Aquitaine, France",-63.4
52602,FR,France,Nouvelle-Aquitaine,,2020-04-08,-83.0,-39.0,-56.0,-77.0,-66.0,28.0,"Nouvelle-Aquitaine, France",-64.2
52603,FR,France,Nouvelle-Aquitaine,,2020-04-09,-82.0,-34.0,-54.0,-78.0,-67.0,30.0,"Nouvelle-Aquitaine, France",-63.0
52604,FR,France,Nouvelle-Aquitaine,,2020-04-10,-81.0,-31.0,-56.0,-79.0,-66.0,34.0,"Nouvelle-Aquitaine, France",-62.6
52605,FR,France,Nouvelle-Aquitaine,,2020-04-11,-85.0,-38.0,-70.0,-79.0,-51.0,23.0,"Nouvelle-Aquitaine, France",-64.6
52606,FR,France,Nouvelle-Aquitaine,,2020-04-12,-81.0,-63.0,-75.0,-83.0,-47.0,18.0,"Nouvelle-Aquitaine, France",-69.8
52607,FR,France,Nouvelle-Aquitaine,,2020-04-13,-91.0,-82.0,-60.0,-86.0,-87.0,37.0,"Nouvelle-Aquitaine, France",-81.2
52608,FR,France,Nouvelle-Aquitaine,,2020-04-14,-77.0,-22.0,-51.0,-75.0,-64.0,28.0,"Nouvelle-Aquitaine, France",-57.8
52609,FR,France,Nouvelle-Aquitaine,,2020-04-15,-80.0,-32.0,-53.0,-75.0,-63.0,27.0,"Nouvelle-Aquitaine, France",-60.6
52610,FR,France,Nouvelle-Aquitaine,,2020-04-16,-80.0,-31.0,-51.0,-76.0,-64.0,29.0,"Nouvelle-Aquitaine, France",-60.4
52611,FR,France,Nouvelle-Aquitaine,,2020-04-17,-80.0,-33.0,-53.0,-78.0,-63.0,33.0,"Nouvelle-Aquitaine, France",-61.4
52612,FR,France,Nouvelle-Aquitaine,,2020-04-18,-85.0,-46.0,-69.0,-78.0,-48.0,22.0,"Nouvelle-Aquitaine, France",-65.2
52613,FR,France,Nouvelle-Aquitaine,,2020-04-19,-84.0,-70.0,-76.0,-82.0,-47.0,18.0,"Nouvelle-Aquitaine, France",-71.8
52614,FR,France,Nouvelle-Aquitaine,,2020-04-20,-78.0,-42.0,-52.0,-76.0,-64.0,29.0,"Nouvelle-Aquitaine, France",-62.4
52615,FR,France,Nouvelle-Aquitaine,,2020-04-21,-78.0,-41.0,-55.0,-76.0,-64.0,29.0,"Nouvelle-Aquitaine, France",-62.8
52616,FR,France,Nouvelle-Aquitaine,,2020-04-22,-80.0,-41.0,-54.0,-74.0,-61.0,27.0,"Nouvelle-Aquitaine, France",-62.0
52617,FR,France,Nouvelle-Aquitaine,,2020-04-23,-79.0,-37.0,-48.0,-74.0,-62.0,28.0,"Nouvelle-Aquitaine, France",-60.0
52618,FR,France,Nouvelle-Aquitaine,,2020-04-24,-78.0,-37.0,-48.0,-76.0,-62.0,31.0,"Nouvelle-Aquitaine, France",-60.2
52619,FR,France,Nouvelle-Aquitaine,,2020-04-25,-83.0,-43.0,-66.0,-76.0,-45.0,21.0,"Nouvelle-Aquitaine, France",-62.6
52620,FR,France,Nouvelle-Aquitaine,,2020-04-26,-81.0,-63.0,-66.0,-76.0,-40.0,16.0,"Nouvelle-Aquitaine, France",-65.2
52621,FR,France,Nouvelle-Aquitaine,,2020-04-27,-75.0,-37.0,-50.0,-74.0,-61.0,27.0,"Nouvelle-Aquitaine, France",-59.4
52622,FR,France,Nouvelle-Aquitaine,,2020-04-28,-74.0,-35.0,-50.0,-72.0,-61.0,26.0,"Nouvelle-Aquitaine, France",-58.4
52623,FR,France,Nouvelle-Aquitaine,,2020-04-29,-76.0,-33.0,-54.0,-72.0,-58.0,25.0,"Nouvelle-Aquitaine, France",-58.6
52624,FR,France,Nouvelle-Aquitaine,,2020-04-30,-71.0,-17.0,-53.0,-73.0,-60.0,26.0,"Nouvelle-Aquitaine, France",-54.8
52625,FR,France,Nouvelle-Aquitaine,,2020-05-01,-92.0,-91.0,-69.0,-88.0,-87.0,41.0,"Nouvelle-Aquitaine, France",-85.4
52626,FR,France,Nouvelle-Aquitaine,,2020-05-02,-77.0,-26.0,-71.0,-74.0,-43.0,21.0,"Nouvelle-Aquitaine, France",-58.2
52627,FR,France,Nouvelle-Aquitaine,,2020-05-03,-79.0,-61.0,-63.0,-74.0,-34.0,15.0,"Nouvelle-Aquitaine, France",-62.2
52628,FR,France,Nouvelle-Aquitaine,,2020-05-04,-68.0,-26.0,-39.0,-69.0,-55.0,24.0,"Nouvelle-Aquitaine, France",-51.4
52629,FR,France,Nouvelle-Aquitaine,,2020-05-05,-67.0,-24.0,-38.0,-65.0,-54.0,24.0,"Nouvelle-Aquitaine, France",-49.6
52630,FR,France,Nouvelle-Aquitaine,,2020-05-06,-69.0,-24.0,-41.0,-65.0,-51.0,22.0,"Nouvelle-Aquitaine, France",-50.0
52631,FR,France,Nouvelle-Aquitaine,,2020-05-07,-66.0,-13.0,-39.0,-67.0,-52.0,22.0,"Nouvelle-Aquitaine, France",-47.4
52632,FR,France,Nouvelle-Aquitaine,,2020-05-08,-83.0,-64.0,-51.0,-81.0,-80.0,37.0,"Nouvelle-Aquitaine, France",-71.8
52633,FR,France,Nouvelle-Aquitaine,,2020-05-09,-74.0,-24.0,-60.0,-69.0,-34.0,18.0,"Nouvelle-Aquitaine, France",-52.2
52634,FR,France,Nouvelle-Aquitaine,,2020-05-10,-78.0,-56.0,-73.0,-77.0,-30.0,15.0,"Nouvelle-Aquitaine, France",-62.8
52635,FR,France,Nouvelle-Aquitaine,,2020-05-11,-43.0,-11.0,-32.0,-52.0,-41.0,17.0,"Nouvelle-Aquitaine, France",-35.8
52636,FR,France,Nouvelle-Aquitaine,,2020-05-12,-40.0,-6.0,-10.0,-44.0,-40.0,16.0,"Nouvelle-Aquitaine, France",-28.0
52637,FR,France,Nouvelle-Aquitaine,,2020-05-13,-47.0,-11.0,-25.0,-46.0,-39.0,15.0,"Nouvelle-Aquitaine, France",-33.6
52638,FR,France,Nouvelle-Aquitaine,,2020-05-14,-45.0,-7.0,-15.0,-48.0,-39.0,15.0,"Nouvelle-Aquitaine, France",-30.8
52639,FR,France,Nouvelle-Aquitaine,,2020-05-15,-45.0,-9.0,-3.0,-48.0,-37.0,17.0,"Nouvelle-Aquitaine, France",-28.4
52640,FR,France,Nouvelle-Aquitaine,,2020-05-16,-48.0,-10.0,1.0,-41.0,-14.0,8.0,"Nouvelle-Aquitaine, France",-22.4
52641,FR,France,Nouvelle-Aquitaine,,2020-05-17,-50.0,-16.0,19.0,-44.0,-2.0,5.0,"Nouvelle-Aquitaine, France",-18.6
52642,FR,France,Nouvelle-Aquitaine,,2020-05-18,-34.0,-5.0,26.0,-40.0,-36.0,14.0,"Nouvelle-Aquitaine, France",-17.8
52643,FR,France,Nouvelle-Aquitaine,,2020-05-19,-34.0,-2.0,31.0,-37.0,-36.0,13.0,"Nouvelle-Aquitaine, France",-15.6
52644,FR,France,Nouvelle-Aquitaine,,2020-05-20,-31.0,9.0,32.0,-36.0,-35.0,9.0,"Nouvelle-Aquitaine, France",-12.2
52645,FR,France,Nouvelle-Aquitaine,,2020-05-21,-55.0,-40.0,73.0,-58.0,-75.0,21.0,"Nouvelle-Aquitaine, France",-31.0
52646,FR,France,Nouvelle-Aquitaine,,2020-05-22,-34.0,2.0,33.0,-52.0,-51.0,18.0,"Nouvelle-Aquitaine, France",-20.4
52647,FR,France,Nouvelle-Aquitaine,,2020-05-23,-44.0,-12.0,-13.0,-49.0,-10.0,9.0,"Nouvelle-Aquitaine, France",-25.6
52648,FR,France,Nouvelle-Aquitaine,,2020-05-24,-44.0,-14.0,29.0,-40.0,4.0,3.0,"Nouvelle-Aquitaine, France",-13.0
52649,FR,France,Nouvelle-Aquitaine,,2020-05-25,-29.0,-8.0,28.0,-39.0,-35.0,13.0,"Nouvelle-Aquitaine, France",-16.6
52650,FR,France,Nouvelle-Aquitaine,,2020-05-26,-30.0,-5.0,31.0,-36.0,-32.0,12.0,"Nouvelle-Aquitaine, France",-14.4
52651,FR,France,Nouvelle-Aquitaine,,2020-05-27,-34.0,-5.0,31.0,-36.0,-31.0,11.0,"Nouvelle-Aquitaine, France",-15.0
52652,FR,France,Nouvelle-Aquitaine,,2020-05-28,-35.0,-1.0,31.0,-38.0,-31.0,12.0,"Nouvelle-Aquitaine, France",-14.8
52653,FR,France,Nouvelle-Aquitaine,,2020-05-29,-34.0,0.0,34.0,-40.0,-30.0,13.0,"Nouvelle-Aquitaine, France",-14.0
52654,FR,France,Nouvelle-Aquitaine,,2020-05-30,-37.0,0.0,29.0,-36.0,-1.0,4.0,"Nouvelle-Aquitaine, France",-9.0
52655,FR,France,Nouvelle-Aquitaine,,2020-05-31,-37.0,8.0,50.0,-40.0,10.0,1.0,"Nouvelle-Aquitaine, France",-1.8
52656,FR,France,Nouvelle-Aquitaine,,2020-06-01,-42.0,-40.0,60.0,-55.0,-70.0,19.0,"Nouvelle-Aquitaine, France",-29.4
52657,FR,France,Nouvelle-Aquitaine,,2020-06-02,-16.0,6.0,37.0,-25.0,-26.0,8.0,"Nouvelle-Aquitaine, France",-4.8
52658,FR,France,Nouvelle-Aquitaine,,2020-06-03,-23.0,0.0,18.0,-28.0,-26.0,9.0,"Nouvelle-Aquitaine, France",-11.8
52659,FR,France,Nouvelle-Aquitaine,,2020-06-04,-23.0,2.0,0.0,-32.0,-27.0,10.0,"Nouvelle-Aquitaine, France",-16.0
52660,FR,France,Nouvelle-Aquitaine,,2020-06-05,-20.0,0.0,5.0,-32.0,-26.0,11.0,"Nouvelle-Aquitaine, France",-14.6
52661,FR,France,Occitanie,,2020-02-15,-4.0,-4.0,32.0,19.0,-5.0,-2.0,"Occitanie, France",7.6
52662,FR,France,Occitanie,,2020-02-16,2.0,4.0,12.0,11.0,-2.0,-2.0,"Occitanie, France",5.4
52663,FR,France,Occitanie,,2020-02-17,0.0,1.0,16.0,-4.0,-24.0,5.0,"Occitanie, France",-2.2
52664,FR,France,Occitanie,,2020-02-18,6.0,1.0,47.0,-3.0,-22.0,4.0,"Occitanie, France",5.8
52665,FR,France,Occitanie,,2020-02-19,-3.0,-3.0,27.0,0.0,-19.0,3.0,"Occitanie, France",0.4
52666,FR,France,Occitanie,,2020-02-20,2.0,0.0,45.0,-1.0,-21.0,3.0,"Occitanie, France",5.0
52667,FR,France,Occitanie,,2020-02-21,1.0,-2.0,28.0,2.0,-22.0,4.0,"Occitanie, France",1.4
52668,FR,France,Occitanie,,2020-02-22,-4.0,-1.0,42.0,21.0,-4.0,0.0,"Occitanie, France",10.8
52669,FR,France,Occitanie,,2020-02-23,17.0,18.0,64.0,28.0,1.0,-2.0,"Occitanie, France",25.6
52670,FR,France,Occitanie,,2020-02-24,3.0,5.0,58.0,15.0,1.0,0.0,"Occitanie, France",16.4
52671,FR,France,Occitanie,,2020-02-25,2.0,4.0,29.0,7.0,2.0,1.0,"Occitanie, France",8.8
52672,FR,France,Occitanie,,2020-02-26,-4.0,2.0,3.0,9.0,1.0,2.0,"Occitanie, France",2.2
52673,FR,France,Occitanie,,2020-02-27,-2.0,4.0,1.0,5.0,2.0,1.0,"Occitanie, France",2.0
52674,FR,France,Occitanie,,2020-02-28,7.0,6.0,24.0,16.0,2.0,0.0,"Occitanie, France",11.0
52675,FR,France,Occitanie,,2020-02-29,2.0,6.0,11.0,20.0,1.0,1.0,"Occitanie, France",8.0
52676,FR,France,Occitanie,,2020-03-01,12.0,12.0,16.0,16.0,4.0,0.0,"Occitanie, France",12.0
52677,FR,France,Occitanie,,2020-03-02,-4.0,2.0,-1.0,4.0,1.0,2.0,"Occitanie, France",0.4
52678,FR,France,Occitanie,,2020-03-03,-3.0,1.0,1.0,-2.0,2.0,2.0,"Occitanie, France",-0.2
52679,FR,France,Occitanie,,2020-03-04,-3.0,4.0,-3.0,2.0,2.0,2.0,"Occitanie, France",0.4
52680,FR,France,Occitanie,,2020-03-05,-3.0,4.0,-9.0,1.0,2.0,2.0,"Occitanie, France",-1.0
52681,FR,France,Occitanie,,2020-03-06,1.0,2.0,-6.0,7.0,1.0,1.0,"Occitanie, France",1.0
52682,FR,France,Occitanie,,2020-03-07,0.0,2.0,4.0,5.0,1.0,1.0,"Occitanie, France",2.4
52683,FR,France,Occitanie,,2020-03-08,7.0,7.0,21.0,12.0,2.0,0.0,"Occitanie, France",9.8
52684,FR,France,Occitanie,,2020-03-09,-4.0,1.0,1.0,1.0,0.0,2.0,"Occitanie, France",-0.2
52685,FR,France,Occitanie,,2020-03-10,0.0,2.0,12.0,-1.0,1.0,1.0,"Occitanie, France",2.8
52686,FR,France,Occitanie,,2020-03-11,-1.0,2.0,24.0,3.0,1.0,1.0,"Occitanie, France",5.8
52687,FR,France,Occitanie,,2020-03-12,-6.0,7.0,3.0,-2.0,1.0,1.0,"Occitanie, France",0.6
52688,FR,France,Occitanie,,2020-03-13,-4.0,20.0,4.0,-2.0,-2.0,2.0,"Occitanie, France",3.2
